year,F,M
1880,27,0
1881,27,0
1882,47,0
1883,30,0
1884,47,0
1885,33,0
1886,45,0
1887,37,0
1888,54,0
1889,46,0
1890,42,0
1891,39,0
1892,40,0
1893,46,0
1894,51,0
1895,41,0
1896,52,0
1897,46,0
1898,88,0
1899,36,0
1900,63,0
1901,54,0
1902,57,0
1903,60,0
1904,49,0
1905,50,0
1906,37,0
1907,65,0
1908,36,0
1909,58,0
1910,61,0
1911,51,0
1912,82,0
1913,75,0
1914,84,0
1915,80,0
1916,99,0
1917,90,0
1918,86,0
1919,81,0
1920,81,0
1921,85,0
1922,85,0
1923,93,0
1924,85,0
1925,84,0
1926,77,0
1927,65,0
1928,53,0
1929,51,0
1930,57,0
1931,45,0
1932,42,0
1933,37,0
1934,45,0
1935,43,0
1936,45,0
1937,46,0
1938,38,0
1939,27,0
1940,40,0
1941,44,0
1942,40,0
1943,32,0
1944,23,0
1945,34,0
1946,39,0
1947,27,0
1948,28,0
1949,45,0
1950,28,0
1951,31,0
1952,12,0
1953,20,0
1954,33,0
1955,17,0
1956,13,0
1957,14,0
1958,17,0
1959,14,0
1960,8,0
1961,12,0
1962,6,0
1963,6,0
1964,8,0
1965,11,0
1966,6,0
1967,7,0
1968,0,0
1969,0,0
1970,5,0
1971,7,0
1972,8,0
1973,0,0
1974,0,0
1975,0,0
1976,6,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,6,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
