year,Boys,Girls
1880,0,89
1881,0,76
1882,0,74
1883,0,69
1884,0,67
1885,0,82
1886,0,73
1887,0,71
1888,0,83
1889,0,112
1890,6,93
1891,0,64
1892,6,98
1893,0,85
1894,7,101
1895,0,99
1896,0,111
1897,0,111
1898,0,115
1899,0,94
1900,7,131
1901,8,120
1902,6,135
1903,5,114
1904,11,124
1905,0,126
1906,8,125
1907,8,151
1908,9,166
1909,6,151
1910,10,200
1911,6,219
1912,5,348
1913,8,464
1914,9,538
1915,9,706
1916,9,715
1917,24,715
1918,20,766
1919,22,749
1920,12,807
1921,17,755
1922,13,707
1923,21,727
1924,18,708
1925,13,690
1926,27,687
1927,16,611
1928,15,599
1929,15,570
1930,14,599
1931,9,526
1932,10,560
1933,9,495
1934,11,497
1935,11,529
1936,0,482
1937,9,475
1938,7,503
1939,14,472
1940,7,461
1941,9,538
1942,0,497
1943,9,502
1944,0,534
1945,6,508
1946,0,538
1947,5,596
1948,8,601
1949,0,588
1950,12,642
1951,0,641
1952,7,601
1953,9,639
1954,6,637
1955,11,645
1956,6,620
1957,0,604
1958,0,579
1959,8,558
1960,5,504
1961,0,518
1962,5,465
1963,7,456
1964,0,390
1965,0,387
1966,0,325
1967,7,296
1968,5,258
1969,0,242
1970,7,244
1971,7,291
1972,5,224
1973,0,241
1974,0,195
1975,0,218
1976,0,190
1977,0,217
1978,0,223
1979,0,249
1980,0,204
1981,6,215
1982,0,219
1983,0,183
1984,0,209
1985,0,194
1986,0,199
1987,0,199
1988,0,203
1989,0,193
1990,0,203
1991,0,135
1992,0,115
1993,0,143
1994,0,132
1995,0,121
1996,0,90
1997,0,103
1998,0,80
1999,0,91
2000,0,90
2001,0,80
2002,0,78
2003,0,83
2004,0,64
2005,0,67
2006,0,77
2007,0,62
2008,0,67
2009,0,67
2010,0,62
2011,0,60
2012,0,57
2013,0,76
2014,0,75
2015,0,73
2016,0,67
2017,0,67
2018,0,66
2019,0,74
