year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,6
1976,0,5
1977,0,6
1978,0,8
1979,0,9
1980,0,10
1981,0,5
1982,0,33
1983,0,57
1984,0,55
1985,6,76
1986,8,72
1987,0,74
1988,5,55
1989,0,72
1990,11,124
1991,8,124
1992,7,157
1993,18,150
1994,12,152
1995,14,171
1996,19,219
1997,23,229
1998,20,237
1999,27,250
2000,22,252
2001,20,293
2002,23,296
2003,10,244
2004,15,238
2005,20,355
2006,18,660
2007,9,640
2008,15,593
2009,13,636
2010,5,569
2011,16,500
2012,24,511
2013,10,551
2014,17,494
2015,11,438
2016,10,405
2017,16,311
2018,11,313
2019,6,354
