year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,6,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,7,0
1926,0,0
1927,8,0
1928,9,0
1929,6,0
1930,10,0
1931,12,0
1932,19,0
1933,20,0
1934,26,0
1935,29,0
1936,31,0
1937,32,0
1938,48,0
1939,65,0
1940,179,0
1941,143,0
1942,133,0
1943,168,0
1944,193,0
1945,194,0
1946,306,0
1947,373,0
1948,324,0
1949,352,0
1950,387,0
1951,471,0
1952,531,0
1953,582,0
1954,664,0
1955,670,0
1956,730,0
1957,1845,5
1958,3409,0
1959,3798,9
1960,3663,8
1961,3730,7
1962,3823,5
1963,3981,9
1964,3806,14
1965,3562,18
1966,3481,11
1967,4001,10
1968,4309,15
1969,4651,13
1970,4720,12
1971,4485,15
1972,3531,18
1973,4286,19
1974,4524,23
1975,3629,17
1976,3087,16
1977,3125,19
1978,2800,6
1979,2885,19
1980,2809,13
1981,2651,11
1982,2360,11
1983,2279,13
1984,2288,9
1985,1991,16
1986,2101,10
1987,1736,7
1988,1531,6
1989,1485,13
1990,1379,9
1991,1262,6
1992,1265,0
1993,1020,0
1994,1130,0
1995,1070,0
1996,1004,0
1997,933,0
1998,879,0
1999,749,0
2000,682,0
2001,623,0
2002,797,5
2003,575,0
2004,502,0
2005,437,0
2006,416,0
2007,416,0
2008,351,0
2009,300,0
2010,231,0
2011,216,0
2012,203,0
2013,187,0
2014,168,0
2015,181,0
2016,151,0
2017,141,0
2018,113,0
2019,124,0
