year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,7,0
1943,8,0
1944,10,0
1945,11,0
1946,24,6
1947,29,8
1948,33,0
1949,30,5
1950,24,0
1951,28,0
1952,52,0
1953,58,0
1954,85,0
1955,105,0
1956,128,0
1957,851,0
1958,1830,0
1959,2737,5
1960,2263,5
1961,2225,0
1962,2211,5
1963,2079,0
1964,1733,5
1965,1721,0
1966,1533,0
1967,1489,0
1968,1659,0
1969,1532,5
1970,1556,8
1971,1453,6
1972,1287,6
1973,1001,0
1974,947,8
1975,832,0
1976,710,0
1977,622,9
1978,619,5
1979,651,0
1980,527,0
1981,454,0
1982,404,5
1983,358,0
1984,296,0
1985,248,0
1986,251,0
1987,174,0
1988,128,0
1989,119,0
1990,88,0
1991,83,0
1992,64,0
1993,52,0
1994,49,0
1995,39,0
1996,48,0
1997,43,0
1998,26,0
1999,29,0
2000,24,0
2001,26,0
2002,21,0
2003,16,0
2004,24,0
2005,13,0
2006,13,0
2007,16,0
2008,9,0
2009,7,0
2010,6,0
2011,10,0
2012,11,0
2013,10,0
2014,7,0
2015,8,0
2016,8,0
2017,0,0
2018,6,0
2019,0,0
