year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,8,0
1948,7,0
1949,0,0
1950,0,0
1951,10,0
1952,0,0
1953,9,0
1954,11,0
1955,15,0
1956,8,0
1957,22,0
1958,16,0
1959,21,0
1960,26,0
1961,36,0
1962,38,0
1963,47,0
1964,47,0
1965,58,0
1966,214,0
1967,205,0
1968,261,0
1969,370,0
1970,594,0
1971,1015,5
1972,1138,0
1973,1121,6
1974,1344,0
1975,1084,9
1976,1106,0
1977,1115,11
1978,1053,5
1979,1401,9
1980,2266,11
1981,2018,15
1982,1884,11
1983,1833,5
1984,1684,0
1985,1479,6
1986,1302,8
1987,1279,0
1988,1306,0
1989,1205,0
1990,1154,5
1991,960,0
1992,806,0
1993,687,0
1994,539,0
1995,463,0
1996,336,0
1997,273,0
1998,194,0
1999,191,0
2000,162,0
2001,120,0
2002,149,0
2003,89,0
2004,94,0
2005,82,0
2006,74,0
2007,65,0
2008,51,0
2009,51,0
2010,31,0
2011,41,0
2012,27,0
2013,28,0
2014,19,0
2015,15,0
2016,22,0
2017,26,0
2018,16,0
2019,17,0
