year,F,M
1880,6,0
1881,5,0
1882,7,0
1883,6,0
1884,10,0
1885,9,0
1886,10,0
1887,6,0
1888,14,0
1889,13,0
1890,8,0
1891,9,0
1892,12,0
1893,8,0
1894,10,0
1895,26,0
1896,11,0
1897,11,0
1898,0,0
1899,10,0
1900,7,0
1901,15,0
1902,14,0
1903,0,0
1904,10,0
1905,6,0
1906,7,0
1907,9,0
1908,10,0
1909,9,0
1910,8,0
1911,10,0
1912,20,0
1913,15,0
1914,19,0
1915,17,0
1916,21,0
1917,17,0
1918,14,0
1919,16,0
1920,25,0
1921,28,0
1922,21,0
1923,16,0
1924,25,5
1925,19,0
1926,21,0
1927,40,0
1928,37,0
1929,22,0
1930,23,0
1931,21,0
1932,20,0
1933,10,0
1934,17,0
1935,22,0
1936,23,0
1937,23,0
1938,18,0
1939,30,0
1940,39,0
1941,45,0
1942,34,0
1943,39,0
1944,32,0
1945,32,0
1946,53,0
1947,51,0
1948,56,0
1949,50,0
1950,85,0
1951,85,0
1952,101,0
1953,98,0
1954,98,0
1955,135,0
1956,93,0
1957,124,0
1958,100,0
1959,107,0
1960,106,0
1961,114,0
1962,129,0
1963,117,0
1964,119,0
1965,119,0
1966,101,0
1967,95,0
1968,103,0
1969,95,0
1970,101,0
1971,111,0
1972,88,0
1973,85,0
1974,103,0
1975,94,0
1976,97,0
1977,101,0
1978,114,0
1979,115,0
1980,132,0
1981,133,0
1982,123,0
1983,78,0
1984,92,0
1985,81,0
1986,78,0
1987,75,0
1988,104,0
1989,126,0
1990,138,0
1991,126,0
1992,97,0
1993,113,0
1994,61,0
1995,67,0
1996,97,0
1997,88,0
1998,75,0
1999,90,0
2000,111,0
2001,124,0
2002,124,0
2003,149,0
2004,150,0
2005,130,0
2006,133,0
2007,132,0
2008,148,0
2009,161,0
2010,144,0
2011,146,0
2012,187,0
2013,213,0
2014,364,0
2015,688,0
2016,1121,0
2017,1189,0
2018,1206,0
2019,1137,0
