year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,6,0
1896,6,0
1897,0,0
1898,6,0
1899,0,0
1900,6,0
1901,5,0
1902,8,0
1903,11,0
1904,16,0
1905,10,0
1906,13,0
1907,9,0
1908,16,0
1909,24,0
1910,27,0
1911,23,0
1912,30,0
1913,29,0
1914,42,0
1915,54,0
1916,53,0
1917,50,0
1918,71,0
1919,54,0
1920,57,0
1921,66,0
1922,55,0
1923,55,0
1924,82,0
1925,59,0
1926,57,0
1927,47,0
1928,45,0
1929,42,0
1930,52,0
1931,41,0
1932,50,0
1933,49,0
1934,32,0
1935,41,0
1936,25,0
1937,44,0
1938,32,0
1939,23,0
1940,30,0
1941,21,0
1942,27,0
1943,18,0
1944,27,0
1945,30,0
1946,32,0
1947,23,0
1948,25,0
1949,25,0
1950,26,0
1951,23,0
1952,27,0
1953,19,0
1954,15,0
1955,20,0
1956,19,0
1957,15,0
1958,10,0
1959,6,0
1960,17,0
1961,7,0
1962,10,0
1963,14,0
1964,9,0
1965,15,0
1966,6,0
1967,10,0
1968,6,0
1969,11,0
1970,0,0
1971,7,0
1972,0,0
1973,6,0
1974,0,0
1975,5,0
1976,0,0
1977,0,0
1978,5,0
1979,5,0
1980,0,0
1981,0,0
1982,0,0
1983,5,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
