year,F,M
1880,0,7
1881,0,0
1882,0,10
1883,0,11
1884,0,8
1885,0,0
1886,0,0
1887,0,8
1888,0,8
1889,0,11
1890,0,5
1891,0,6
1892,0,8
1893,0,8
1894,0,15
1895,0,11
1896,0,6
1897,0,16
1898,0,16
1899,0,10
1900,0,8
1901,0,10
1902,0,12
1903,0,19
1904,0,14
1905,0,11
1906,0,22
1907,0,15
1908,0,26
1909,0,30
1910,0,38
1911,0,38
1912,0,76
1913,0,78
1914,0,113
1915,0,148
1916,0,118
1917,0,135
1918,0,138
1919,0,150
1920,0,146
1921,0,151
1922,0,144
1923,0,123
1924,0,153
1925,5,118
1926,0,118
1927,0,94
1928,0,113
1929,6,95
1930,0,109
1931,0,118
1932,0,106
1933,0,95
1934,0,107
1935,0,85
1936,0,96
1937,0,93
1938,0,95
1939,0,111
1940,0,91
1941,0,117
1942,0,121
1943,0,113
1944,0,103
1945,0,113
1946,0,108
1947,0,103
1948,0,97
1949,0,104
1950,0,97
1951,0,91
1952,0,88
1953,0,100
1954,0,89
1955,0,77
1956,0,87
1957,0,110
1958,0,96
1959,0,87
1960,0,171
1961,0,143
1962,0,147
1963,0,125
1964,0,137
1965,0,96
1966,0,180
1967,0,163
1968,0,162
1969,0,159
1970,0,153
1971,0,153
1972,0,158
1973,0,172
1974,0,160
1975,0,147
1976,0,126
1977,0,148
1978,0,130
1979,0,134
1980,0,118
1981,0,111
1982,0,101
1983,0,123
1984,0,96
1985,0,94
1986,0,102
1987,0,107
1988,0,115
1989,0,116
1990,0,109
1991,0,100
1992,0,119
1993,0,101
1994,0,113
1995,0,106
1996,0,99
1997,0,92
1998,0,101
1999,0,90
2000,0,108
2001,5,98
2002,0,101
2003,0,97
2004,5,112
2005,6,113
2006,0,134
2007,0,105
2008,0,95
2009,0,97
2010,0,96
2011,0,87
2012,6,101
2013,0,86
2014,0,99
2015,0,100
2016,0,81
2017,0,89
2018,7,77
2019,0,66
