year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,6,0
1942,9,0
1943,0,0
1944,5,0
1945,8,0
1946,0,0
1947,14,0
1948,15,0
1949,23,0
1950,23,0
1951,28,0
1952,37,0
1953,43,0
1954,56,0
1955,61,0
1956,68,0
1957,74,0
1958,98,0
1959,95,0
1960,133,0
1961,111,0
1962,120,0
1963,94,0
1964,104,0
1965,96,0
1966,127,0
1967,107,0
1968,103,0
1969,102,0
1970,95,0
1971,94,0
1972,74,0
1973,70,0
1974,80,0
1975,75,0
1976,60,0
1977,84,0
1978,91,0
1979,85,0
1980,69,0
1981,64,0
1982,68,0
1983,63,0
1984,61,0
1985,71,0
1986,94,0
1987,66,0
1988,60,0
1989,63,0
1990,54,0
1991,58,0
1992,48,0
1993,61,0
1994,38,0
1995,48,0
1996,46,0
1997,53,0
1998,37,0
1999,32,0
2000,35,0
2001,36,0
2002,26,0
2003,14,0
2004,32,0
2005,23,0
2006,32,0
2007,26,0
2008,32,0
2009,19,0
2010,14,0
2011,7,0
2012,9,0
2013,12,0
2014,13,0
2015,0,0
2016,8,0
2017,8,0
2018,8,0
2019,0,0
