year,Boys,Girls
1880,7,0
1881,0,0
1882,0,0
1883,6,0
1884,8,0
1885,0,0
1886,0,0
1887,0,0
1888,7,0
1889,10,0
1890,7,0
1891,0,0
1892,5,0
1893,6,0
1894,0,0
1895,0,0
1896,0,0
1897,5,0
1898,0,0
1899,0,0
1900,5,0
1901,8,0
1902,5,0
1903,0,0
1904,5,0
1905,0,0
1906,8,0
1907,0,0
1908,6,0
1909,0,0
1910,8,0
1911,5,0
1912,11,0
1913,7,0
1914,11,0
1915,16,0
1916,20,0
1917,27,0
1918,23,0
1919,16,0
1920,21,0
1921,24,0
1922,17,0
1923,15,0
1924,18,0
1925,11,0
1926,13,0
1927,18,0
1928,10,0
1929,8,0
1930,8,0
1931,8,0
1932,11,0
1933,15,0
1934,22,0
1935,9,0
1936,8,0
1937,6,0
1938,7,0
1939,13,0
1940,18,0
1941,20,0
1942,18,0
1943,15,0
1944,17,0
1945,14,0
1946,15,0
1947,11,0
1948,9,0
1949,23,0
1950,27,0
1951,27,0
1952,28,0
1953,15,0
1954,16,0
1955,20,0
1956,20,0
1957,24,0
1958,28,0
1959,38,0
1960,45,0
1961,49,0
1962,42,0
1963,55,0
1964,47,0
1965,70,0
1966,51,0
1967,57,0
1968,58,0
1969,102,0
1970,142,0
1971,125,0
1972,140,0
1973,149,0
1974,212,0
1975,239,0
1976,277,0
1977,256,0
1978,282,0
1979,279,0
1980,246,0
1981,208,0
1982,192,0
1983,154,0
1984,144,0
1985,153,0
1986,173,0
1987,151,0
1988,185,0
1989,195,0
1990,199,0
1991,191,0
1992,163,0
1993,197,0
1994,186,0
1995,220,0
1996,203,0
1997,262,0
1998,315,0
1999,328,0
2000,339,0
2001,364,0
2002,426,0
2003,491,0
2004,489,0
2005,516,0
2006,551,0
2007,570,0
2008,507,0
2009,535,0
2010,495,0
2011,477,0
2012,518,0
2013,566,0
2014,740,0
2015,1121,0
2016,1520,0
2017,1336,0
2018,1286,0
2019,1306,0
