year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,5
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,8
1905,0,0
1906,0,0
1907,0,5
1908,0,5
1909,0,0
1910,0,0
1911,0,0
1912,0,7
1913,0,0
1914,0,7
1915,0,11
1916,0,10
1917,5,8
1918,6,5
1919,0,11
1920,0,6
1921,0,0
1922,0,6
1923,5,6
1924,0,0
1925,0,5
1926,0,0
1927,5,6
1928,0,0
1929,7,0
1930,0,5
1931,0,0
1932,0,8
1933,0,0
1934,0,0
1935,0,0
1936,0,8
1937,0,0
1938,11,0
1939,6,0
1940,6,0
1941,14,0
1942,7,8
1943,14,7
1944,12,11
1945,9,5
1946,12,5
1947,14,5
1948,12,6
1949,9,0
1950,14,13
1951,12,0
1952,14,7
1953,13,7
1954,13,7
1955,14,0
1956,18,5
1957,18,6
1958,23,9
1959,18,8
1960,14,0
1961,28,7
1962,11,12
1963,28,5
1964,20,0
1965,21,11
1966,15,6
1967,17,7
1968,24,10
1969,29,11
1970,39,17
1971,36,16
1972,41,13
1973,73,27
1974,71,19
1975,80,22
1976,46,23
1977,30,16
1978,29,22
1979,20,14
1980,18,9
1981,14,16
1982,9,9
1983,9,11
1984,11,7
1985,19,8
1986,14,6
1987,8,9
1988,5,7
1989,7,7
1990,10,12
1991,7,8
1992,8,10
1993,12,7
1994,11,16
1995,6,13
1996,10,14
1997,8,15
1998,12,12
1999,17,10
2000,13,7
2001,9,13
2002,11,19
2003,9,15
2004,10,14
2005,16,12
2006,7,8
2007,11,10
2008,14,14
2009,8,9
2010,13,9
2011,8,7
2012,9,10
2013,5,9
2014,6,8
2015,0,10
2016,6,14
2017,6,6
2018,0,7
2019,5,0
