year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,5,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,5,0
1892,6,0
1893,6,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,6,0
1913,0,0
1914,7,0
1915,0,6
1916,8,0
1917,7,10
1918,7,7
1919,8,7
1920,14,0
1921,11,8
1922,10,0
1923,10,0
1924,5,0
1925,12,0
1926,12,0
1927,18,6
1928,11,0
1929,7,5
1930,12,0
1931,9,5
1932,13,0
1933,15,0
1934,8,0
1935,9,7
1936,13,5
1937,16,0
1938,12,0
1939,16,0
1940,18,5
1941,17,5
1942,19,0
1943,29,5
1944,38,0
1945,28,5
1946,25,5
1947,46,7
1948,39,6
1949,46,5
1950,53,0
1951,54,0
1952,53,0
1953,59,0
1954,55,5
1955,69,0
1956,68,7
1957,76,7
1958,74,8
1959,74,5
1960,81,6
1961,67,12
1962,56,10
1963,63,13
1964,61,14
1965,57,14
1966,42,8
1967,42,11
1968,66,7
1969,68,15
1970,58,13
1971,62,5
1972,54,0
1973,42,7
1974,43,0
1975,42,0
1976,31,0
1977,31,11
1978,36,6
1979,40,0
1980,17,0
1981,28,5
1982,38,7
1983,19,0
1984,24,0
1985,24,0
1986,38,0
1987,20,7
1988,27,0
1989,26,6
1990,21,5
1991,35,9
1992,31,0
1993,25,0
1994,25,5
1995,25,0
1996,23,0
1997,12,0
1998,15,0
1999,22,6
2000,14,0
2001,15,0
2002,7,0
2003,15,0
2004,9,0
2005,5,0
2006,11,5
2007,15,0
2008,8,0
2009,0,0
2010,11,0
2011,0,0
2012,5,0
2013,9,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
