year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,6
1949,0,0
1950,0,6
1951,0,8
1952,0,12
1953,0,6
1954,0,10
1955,0,14
1956,0,23
1957,0,21
1958,0,24
1959,0,30
1960,0,39
1961,0,50
1962,0,59
1963,0,53
1964,0,84
1965,0,76
1966,0,80
1967,0,80
1968,0,96
1969,0,112
1970,0,115
1971,0,101
1972,0,113
1973,5,108
1974,0,101
1975,0,109
1976,0,105
1977,0,111
1978,0,121
1979,0,118
1980,0,136
1981,0,135
1982,0,196
1983,0,228
1984,0,307
1985,0,395
1986,7,429
1987,5,451
1988,8,502
1989,7,609
1990,7,704
1991,0,697
1992,10,1059
1993,11,1629
1994,8,1367
1995,5,1288
1996,7,1247
1997,0,1291
1998,0,1537
1999,5,1798
2000,0,1653
2001,0,1539
2002,5,1611
2003,0,1516
2004,7,1405
2005,0,1491
2006,0,1371
2007,0,1210
2008,0,1066
2009,0,1022
2010,0,968
2011,0,972
2012,0,766
2013,0,732
2014,0,595
2015,0,517
2016,0,466
2017,0,481
2018,0,449
2019,0,441
