year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,7,0
1914,0,0
1915,0,0
1916,0,0
1917,5,0
1918,5,0
1919,10,0
1920,7,0
1921,8,0
1922,8,0
1923,8,0
1924,0,0
1925,8,7
1926,5,0
1927,0,0
1928,6,0
1929,5,0
1930,0,0
1931,5,0
1932,5,0
1933,0,0
1934,0,0
1935,6,0
1936,5,0
1937,7,0
1938,0,0
1939,0,0
1940,0,0
1941,9,0
1942,8,0
1943,7,0
1944,7,0
1945,6,0
1946,0,0
1947,0,0
1948,0,0
1949,7,0
1950,0,0
1951,0,0
1952,10,0
1953,6,7
1954,0,0
1955,8,0
1956,7,6
1957,11,0
1958,9,0
1959,0,0
1960,9,0
1961,0,0
1962,10,0
1963,12,0
1964,16,0
1965,23,14
1966,25,14
1967,28,25
1968,27,24
1969,25,24
1970,18,11
1971,15,13
1972,15,10
1973,13,6
1974,18,19
1975,14,9
1976,8,6
1977,8,6
1978,11,5
1979,11,7
1980,5,7
1981,7,0
1982,12,0
1983,7,0
1984,0,0
1985,7,0
1986,6,0
1987,0,0
1988,5,5
1989,0,0
1990,6,0
1991,5,0
1992,5,0
1993,10,0
1994,19,0
1995,16,0
1996,12,0
1997,5,6
1998,9,5
1999,10,0
2000,9,0
2001,8,0
2002,9,0
2003,0,0
2004,12,0
2005,0,0
2006,0,0
2007,0,0
2008,8,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,5,0
2019,0,0
