year,Boys,Girls
1880,0,10
1881,0,13
1882,0,19
1883,0,16
1884,0,18
1885,10,16
1886,0,16
1887,5,15
1888,0,17
1889,6,15
1890,0,18
1891,0,11
1892,6,18
1893,0,15
1894,5,26
1895,7,23
1896,10,19
1897,5,12
1898,9,14
1899,0,15
1900,6,15
1901,7,19
1902,7,12
1903,9,24
1904,8,18
1905,9,19
1906,0,18
1907,7,19
1908,8,23
1909,12,27
1910,11,30
1911,11,29
1912,18,55
1913,12,81
1914,19,123
1915,30,137
1916,31,124
1917,52,104
1918,30,142
1919,38,142
1920,29,123
1921,35,103
1922,36,132
1923,28,108
1924,22,126
1925,30,106
1926,29,115
1927,25,114
1928,14,119
1929,16,97
1930,21,111
1931,19,92
1932,11,89
1933,14,70
1934,9,63
1935,14,58
1936,8,66
1937,10,64
1938,13,68
1939,10,44
1940,12,50
1941,12,63
1942,7,50
1943,19,56
1944,18,51
1945,5,28
1946,7,46
1947,12,53
1948,16,54
1949,11,68
1950,10,57
1951,9,54
1952,11,61
1953,11,60
1954,6,48
1955,14,64
1956,10,52
1957,5,47
1958,5,39
1959,13,32
1960,10,41
1961,8,26
1962,9,31
1963,8,31
1964,7,31
1965,18,45
1966,11,38
1967,8,32
1968,0,33
1969,8,30
1970,6,35
1971,0,31
1972,8,30
1973,7,32
1974,6,33
1975,5,28
1976,8,29
1977,7,21
1978,6,31
1979,10,32
1980,22,31
1981,16,38
1982,18,36
1983,12,29
1984,11,29
1985,14,33
1986,12,27
1987,12,30
1988,0,31
1989,9,26
1990,12,37
1991,13,32
1992,12,27
1993,16,23
1994,7,25
1995,13,24
1996,12,36
1997,14,40
1998,16,34
1999,14,28
2000,9,20
2001,15,23
2002,14,25
2003,13,25
2004,9,30
2005,14,33
2006,13,31
2007,22,20
2008,24,36
2009,25,28
2010,14,31
2011,32,33
2012,28,25
2013,32,35
2014,47,40
2015,41,31
2016,37,41
2017,35,47
2018,41,45
2019,54,62
