year,F,M
1880,0,0
1881,6,0
1882,5,0
1883,0,0
1884,9,0
1885,17,0
1886,8,0
1887,16,0
1888,26,0
1889,19,0
1890,27,0
1891,18,0
1892,23,0
1893,22,0
1894,31,0
1895,41,0
1896,37,0
1897,44,0
1898,46,0
1899,50,0
1900,52,0
1901,52,0
1902,52,0
1903,52,0
1904,40,0
1905,54,0
1906,51,0
1907,59,0
1908,60,0
1909,56,0
1910,65,0
1911,74,0
1912,101,0
1913,107,0
1914,118,0
1915,168,0
1916,171,0
1917,169,0
1918,167,0
1919,164,0
1920,193,0
1921,188,0
1922,166,0
1923,162,0
1924,167,0
1925,169,0
1926,166,0
1927,145,0
1928,137,0
1929,143,0
1930,126,0
1931,97,0
1932,97,0
1933,106,0
1934,118,0
1935,101,0
1936,99,0
1937,95,0
1938,89,0
1939,68,0
1940,80,0
1941,70,0
1942,82,0
1943,67,0
1944,65,0
1945,83,0
1946,200,0
1947,164,0
1948,137,0
1949,91,0
1950,97,0
1951,93,0
1952,96,0
1953,107,0
1954,127,0
1955,79,0
1956,109,0
1957,95,0
1958,122,0
1959,119,0
1960,128,0
1961,116,0
1962,101,0
1963,108,0
1964,102,0
1965,73,0
1966,78,0
1967,74,0
1968,59,0
1969,54,0
1970,48,0
1971,63,0
1972,35,0
1973,41,0
1974,31,0
1975,28,0
1976,27,0
1977,20,0
1978,34,0
1979,21,0
1980,25,0
1981,27,0
1982,25,0
1983,20,0
1984,18,0
1985,10,0
1986,17,0
1987,20,0
1988,0,0
1989,11,0
1990,17,0
1991,10,0
1992,19,0
1993,36,0
1994,24,0
1995,25,0
1996,40,0
1997,31,0
1998,28,0
1999,50,0
2000,60,0
2001,49,0
2002,67,0
2003,62,0
2004,65,0
2005,98,0
2006,75,0
2007,96,0
2008,132,0
2009,133,0
2010,155,0
2011,202,0
2012,177,0
2013,211,0
2014,226,0
2015,289,0
2016,319,0
2017,316,0
2018,299,0
2019,314,5
