year,F,M
1880,48,0
1881,48,0
1882,67,0
1883,77,0
1884,91,0
1885,124,0
1886,167,0
1887,167,0
1888,263,0
1889,313,0
1890,393,0
1891,426,0
1892,486,0
1893,534,0
1894,618,0
1895,729,0
1896,675,0
1897,776,6
1898,876,0
1899,864,0
1900,1024,0
1901,860,0
1902,947,0
1903,899,0
1904,993,0
1905,1053,0
1906,1083,8
1907,1152,6
1908,1204,7
1909,1242,0
1910,1346,5
1911,1510,6
1912,1974,0
1913,2209,8
1914,2683,9
1915,3460,6
1916,3622,15
1917,3714,10
1918,3923,11
1919,3848,9
1920,3785,10
1921,3631,8
1922,3510,9
1923,3375,10
1924,3476,15
1925,3282,12
1926,3151,5
1927,2940,15
1928,2843,21
1929,2549,16
1930,2492,13
1931,2160,11
1932,2023,13
1933,1865,14
1934,1837,8
1935,1813,16
1936,1511,6
1937,1498,18
1938,1412,0
1939,1411,13
1940,1322,6
1941,1266,10
1942,1317,7
1943,1266,6
1944,1187,0
1945,1143,0
1946,1207,0
1947,1217,5
1948,1149,0
1949,1114,0
1950,1113,0
1951,1111,0
1952,1090,0
1953,1192,6
1954,1219,0
1955,1170,0
1956,1151,6
1957,1050,0
1958,975,0
1959,972,7
1960,901,0
1961,859,0
1962,731,0
1963,706,5
1964,639,0
1965,534,0
1966,454,0
1967,461,0
1968,388,0
1969,355,0
1970,366,0
1971,297,0
1972,252,0
1973,225,0
1974,194,0
1975,219,0
1976,184,0
1977,184,0
1978,164,0
1979,177,0
1980,161,0
1981,164,0
1982,166,0
1983,147,0
1984,127,0
1985,129,0
1986,112,0
1987,108,0
1988,93,0
1989,104,0
1990,100,0
1991,98,0
1992,99,0
1993,103,0
1994,92,0
1995,64,0
1996,80,0
1997,66,0
1998,101,0
1999,64,0
2000,103,0
2001,96,0
2002,103,0
2003,101,0
2004,124,0
2005,154,0
2006,161,0
2007,207,0
2008,253,0
2009,306,0
2010,431,0
2011,573,0
2012,615,0
2013,720,0
2014,889,0
2015,1052,0
2016,1058,0
2017,1159,0
2018,1262,0
2019,1276,0
