year,Boys,Girls
1880,0,19
1881,0,18
1882,0,28
1883,0,23
1884,0,20
1885,0,29
1886,0,22
1887,0,28
1888,0,28
1889,0,29
1890,5,32
1891,7,33
1892,0,41
1893,0,40
1894,6,34
1895,0,43
1896,0,36
1897,0,27
1898,0,34
1899,0,30
1900,7,36
1901,6,32
1902,0,30
1903,0,28
1904,0,27
1905,6,33
1906,0,40
1907,5,41
1908,7,44
1909,6,44
1910,6,34
1911,7,44
1912,9,87
1913,11,121
1914,13,155
1915,13,212
1916,13,210
1917,12,200
1918,18,244
1919,8,231
1920,8,274
1921,15,261
1922,13,266
1923,12,241
1924,17,243
1925,10,241
1926,15,221
1927,11,220
1928,9,207
1929,10,184
1930,8,221
1931,0,201
1932,6,155
1933,9,162
1934,11,175
1935,13,152
1936,10,154
1937,8,153
1938,7,160
1939,8,149
1940,6,165
1941,6,147
1942,0,158
1943,5,153
1944,0,165
1945,7,147
1946,0,160
1947,0,159
1948,7,191
1949,6,146
1950,8,140
1951,0,152
1952,0,143
1953,6,170
1954,9,207
1955,5,167
1956,6,173
1957,8,161
1958,0,135
1959,8,163
1960,5,133
1961,0,149
1962,5,127
1963,0,119
1964,0,103
1965,6,95
1966,5,83
1967,0,65
1968,6,63
1969,0,47
1970,6,65
1971,0,35
1972,0,49
1973,0,27
1974,0,34
1975,0,37
1976,0,35
1977,0,32
1978,0,32
1979,0,22
1980,0,19
1981,0,20
1982,0,26
1983,0,29
1984,0,20
1985,0,22
1986,0,30
1987,0,14
1988,0,14
1989,0,20
1990,0,17
1991,0,13
1992,0,12
1993,0,15
1994,0,15
1995,0,7
1996,0,9
1997,0,9
1998,0,5
1999,0,5
2000,0,9
2001,0,6
2002,0,9
2003,0,6
2004,0,0
2005,0,7
2006,0,0
2007,0,8
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,8
2014,0,0
2015,0,0
2016,0,7
2017,0,0
2018,0,0
2019,0,0
