year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,5,0
1893,0,0
1894,0,5
1895,0,0
1896,7,0
1897,5,5
1898,0,7
1899,0,0
1900,0,0
1901,0,0
1902,10,5
1903,0,0
1904,11,0
1905,8,0
1906,0,0
1907,7,7
1908,0,7
1909,0,7
1910,11,11
1911,0,9
1912,6,23
1913,0,24
1914,9,25
1915,16,28
1916,5,49
1917,13,39
1918,10,28
1919,15,43
1920,17,46
1921,13,43
1922,12,45
1923,13,43
1924,9,37
1925,9,29
1926,16,36
1927,8,36
1928,6,29
1929,5,46
1930,11,33
1931,9,31
1932,9,41
1933,9,31
1934,10,33
1935,5,36
1936,0,34
1937,0,29
1938,0,36
1939,0,32
1940,13,30
1941,6,27
1942,0,30
1943,5,23
1944,0,25
1945,5,18
1946,5,23
1947,0,26
1948,6,18
1949,7,34
1950,0,18
1951,0,21
1952,6,15
1953,8,17
1954,5,20
1955,0,14
1956,0,18
1957,0,20
1958,0,16
1959,0,18
1960,0,19
1961,0,14
1962,5,16
1963,0,13
1964,0,16
1965,0,10
1966,0,19
1967,0,9
1968,0,10
1969,0,14
1970,0,10
1971,0,8
1972,0,11
1973,0,13
1974,0,9
1975,0,11
1976,0,7
1977,0,0
1978,0,7
1979,0,5
1980,0,8
1981,0,8
1982,0,8
1983,0,7
1984,0,7
1985,0,7
1986,0,6
1987,0,6
1988,0,7
1989,0,0
1990,0,6
1991,0,0
1992,0,0
1993,0,7
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,5
2003,0,0
2004,0,0
2005,0,5
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
