year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,6
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,5
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,5
1908,0,0
1909,0,0
1910,0,6
1911,0,0
1912,5,7
1913,0,0
1914,0,5
1915,0,10
1916,0,6
1917,0,0
1918,0,0
1919,0,11
1920,0,0
1921,0,5
1922,0,0
1923,0,9
1924,0,10
1925,0,8
1926,0,0
1927,0,9
1928,0,8
1929,0,0
1930,0,9
1931,0,7
1932,0,0
1933,0,7
1934,0,0
1935,0,6
1936,0,0
1937,0,8
1938,0,0
1939,0,8
1940,0,0
1941,0,6
1942,0,9
1943,0,5
1944,0,16
1945,0,11
1946,0,18
1947,0,15
1948,0,8
1949,0,12
1950,0,8
1951,0,20
1952,0,7
1953,0,19
1954,0,20
1955,0,11
1956,0,10
1957,0,6
1958,0,12
1959,0,13
1960,0,9
1961,0,8
1962,0,14
1963,0,10
1964,0,17
1965,0,7
1966,0,7
1967,0,6
1968,0,10
1969,0,9
1970,0,10
1971,0,7
1972,0,19
1973,0,6
1974,0,7
1975,0,6
1976,0,0
1977,0,5
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,7
1983,0,0
1984,0,0
1985,0,5
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,5
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,6
2007,0,0
2008,0,10
2009,0,0
2010,0,0
2011,0,0
2012,0,6
2013,0,0
2014,0,6
2015,0,5
2016,0,0
2017,0,6
2018,0,0
2019,0,0
