year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,5,0
1913,0,0
1914,0,0
1915,0,0
1916,6,0
1917,5,0
1918,15,0
1919,13,0
1920,13,0
1921,17,0
1922,18,0
1923,25,0
1924,25,0
1925,20,0
1926,32,0
1927,14,0
1928,18,0
1929,20,0
1930,28,0
1931,21,0
1932,16,0
1933,24,0
1934,25,0
1935,25,0
1936,34,0
1937,42,0
1938,78,0
1939,83,0
1940,114,0
1941,121,6
1942,302,0
1943,374,0
1944,421,9
1945,545,16
1946,594,9
1947,824,20
1948,858,12
1949,1024,14
1950,1247,15
1951,1441,21
1952,1760,21
1953,1861,21
1954,2041,19
1955,2304,15
1956,2612,24
1957,2944,23
1958,2674,18
1959,2448,12
1960,2372,6
1961,2208,11
1962,2035,8
1963,1935,15
1964,1616,9
1965,1365,13
1966,1077,8
1967,1140,11
1968,1089,9
1969,964,10
1970,828,7
1971,716,0
1972,589,7
1973,534,0
1974,443,0
1975,384,0
1976,361,0
1977,324,0
1978,323,0
1979,241,0
1980,255,0
1981,242,0
1982,213,5
1983,188,0
1984,207,6
1985,198,0
1986,193,5
1987,200,8
1988,170,0
1989,208,0
1990,199,9
1991,181,0
1992,172,5
1993,156,0
1994,145,0
1995,125,0
1996,147,0
1997,109,6
1998,104,0
1999,123,0
2000,128,0
2001,117,6
2002,124,0
2003,141,0
2004,135,0
2005,161,0
2006,132,0
2007,127,0
2008,121,0
2009,125,0
2010,104,0
2011,93,0
2012,89,0
2013,80,0
2014,85,0
2015,103,0
2016,85,0
2017,78,0
2018,44,0
2019,47,0
