year,Girls,Boys
1880,229,0
1881,237,0
1882,310,0
1883,331,0
1884,362,0
1885,345,0
1886,440,0
1887,420,0
1888,596,0
1889,536,5
1890,697,0
1891,609,5
1892,833,0
1893,839,0
1894,906,0
1895,1010,0
1896,1047,0
1897,1017,0
1898,1272,0
1899,1156,7
1900,1674,5
1901,1331,5
1902,1447,11
1903,1495,6
1904,1545,6
1905,1697,6
1906,1675,6
1907,1805,0
1908,1964,9
1909,1926,10
1910,2090,8
1911,2083,5
1912,2550,0
1913,2847,10
1914,3204,0
1915,3855,11
1916,3948,9
1917,4040,13
1918,4331,11
1919,4129,14
1920,4292,18
1921,4160,14
1922,3793,16
1923,3534,12
1924,3578,11
1925,3336,15
1926,2877,18
1927,2768,10
1928,2624,15
1929,2289,16
1930,2162,6
1931,1823,20
1932,1668,10
1933,1478,12
1934,1437,6
1935,1326,0
1936,1186,9
1937,1158,7
1938,1040,8
1939,981,11
1940,966,10
1941,901,6
1942,941,0
1943,893,0
1944,800,5
1945,765,6
1946,780,5
1947,814,0
1948,724,6
1949,685,0
1950,624,0
1951,636,0
1952,633,0
1953,571,0
1954,574,0
1955,514,0
1956,528,0
1957,446,0
1958,453,0
1959,407,0
1960,429,0
1961,419,0
1962,319,0
1963,307,0
1964,294,0
1965,250,0
1966,206,0
1967,205,0
1968,163,0
1969,139,0
1970,151,0
1971,130,0
1972,128,0
1973,113,0
1974,117,0
1975,87,0
1976,99,0
1977,84,0
1978,62,0
1979,86,0
1980,106,0
1981,84,0
1982,87,0
1983,75,0
1984,84,0
1985,64,0
1986,59,0
1987,71,0
1988,71,0
1989,63,0
1990,57,0
1991,60,0
1992,48,0
1993,50,0
1994,44,0
1995,41,0
1996,47,0
1997,44,0
1998,42,0
1999,52,0
2000,45,0
2001,43,0
2002,57,0
2003,59,0
2004,52,0
2005,61,0
2006,99,0
2007,100,0
2008,96,0
2009,116,0
2010,117,0
2011,135,0
2012,167,0
2013,180,0
2014,194,0
2015,190,0
2016,223,0
2017,212,0
2018,214,0
2019,233,0
