year,Girls,Boys
1880,7,0
1881,0,0
1882,9,0
1883,10,0
1884,20,0
1885,14,0
1886,14,0
1887,12,0
1888,9,0
1889,12,0
1890,16,0
1891,23,0
1892,19,0
1893,22,0
1894,40,0
1895,36,0
1896,34,0
1897,36,0
1898,37,0
1899,38,0
1900,35,0
1901,28,0
1902,34,0
1903,30,0
1904,43,0
1905,39,0
1906,38,0
1907,40,0
1908,36,0
1909,30,0
1910,35,0
1911,46,0
1912,53,0
1913,69,0
1914,65,0
1915,81,0
1916,96,0
1917,96,0
1918,89,0
1919,92,0
1920,76,0
1921,103,0
1922,77,0
1923,85,0
1924,74,0
1925,70,0
1926,66,0
1927,64,0
1928,64,0
1929,43,0
1930,62,0
1931,45,0
1932,41,0
1933,45,0
1934,46,0
1935,31,0
1936,41,0
1937,42,0
1938,26,0
1939,42,0
1940,40,0
1941,39,0
1942,28,0
1943,24,0
1944,17,0
1945,27,0
1946,21,0
1947,25,0
1948,24,0
1949,18,0
1950,17,0
1951,17,0
1952,9,0
1953,16,0
1954,16,0
1955,27,0
1956,23,0
1957,9,0
1958,10,0
1959,11,0
1960,19,0
1961,11,0
1962,13,0
1963,10,0
1964,15,0
1965,7,0
1966,11,0
1967,16,0
1968,26,0
1969,17,0
1970,23,0
1971,22,0
1972,18,0
1973,16,0
1974,16,0
1975,10,0
1976,8,0
1977,9,0
1978,9,0
1979,8,0
1980,0,0
1981,10,0
1982,5,0
1983,10,0
1984,5,0
1985,0,0
1986,5,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,5,0
2003,5,0
2004,6,0
2005,0,0
2006,0,0
2007,5,0
2008,9,0
2009,9,0
2010,6,0
2011,7,0
2012,10,0
2013,18,0
2014,21,0
2015,15,0
2016,11,0
2017,12,0
2018,8,0
2019,13,0
