year,Boys,Girls
1880,0,30
1881,0,37
1882,0,30
1883,0,27
1884,0,38
1885,0,23
1886,0,25
1887,0,23
1888,0,29
1889,0,32
1890,0,37
1891,0,37
1892,0,50
1893,0,30
1894,0,31
1895,0,48
1896,0,41
1897,0,28
1898,0,28
1899,0,48
1900,0,43
1901,0,25
1902,0,46
1903,0,40
1904,0,39
1905,0,31
1906,0,34
1907,0,32
1908,0,42
1909,0,40
1910,0,50
1911,0,77
1912,0,114
1913,0,150
1914,0,193
1915,0,237
1916,5,211
1917,0,242
1918,0,258
1919,0,243
1920,0,286
1921,0,273
1922,0,323
1923,0,271
1924,0,276
1925,0,256
1926,0,220
1927,0,230
1928,5,183
1929,0,192
1930,0,223
1931,0,179
1932,0,169
1933,0,164
1934,0,187
1935,0,157
1936,0,140
1937,0,150
1938,0,174
1939,0,154
1940,0,142
1941,0,139
1942,0,158
1943,0,177
1944,0,167
1945,0,155
1946,0,219
1947,0,218
1948,0,204
1949,0,183
1950,0,167
1951,0,200
1952,0,180
1953,0,207
1954,0,196
1955,0,197
1956,0,193
1957,5,170
1958,0,246
1959,0,254
1960,0,283
1961,0,340
1962,0,262
1963,0,282
1964,0,245
1965,0,172
1966,0,200
1967,0,183
1968,0,141
1969,0,131
1970,0,130
1971,0,93
1972,0,94
1973,0,62
1974,0,61
1975,0,49
1976,0,65
1977,0,56
1978,0,43
1979,0,35
1980,0,45
1981,0,32
1982,0,43
1983,0,41
1984,0,29
1985,0,34
1986,0,35
1987,0,32
1988,0,28
1989,0,28
1990,0,33
1991,0,20
1992,0,24
1993,0,23
1994,0,15
1995,0,17
1996,0,21
1997,0,20
1998,0,23
1999,0,19
2000,0,16
2001,0,17
2002,0,14
2003,0,17
2004,0,10
2005,0,23
2006,0,19
2007,0,12
2008,0,20
2009,0,11
2010,0,18
2011,0,17
2012,0,25
2013,0,30
2014,0,30
2015,12,27
2016,6,48
2017,9,44
2018,10,40
2019,13,33
