year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,6
1916,0,0
1917,0,0
1918,0,0
1919,0,5
1920,0,0
1921,0,0
1922,0,5
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,5
1931,0,6
1932,0,0
1933,0,5
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,6
1943,0,6
1944,0,5
1945,0,6
1946,0,8
1947,0,9
1948,0,8
1949,0,7
1950,0,0
1951,0,5
1952,0,5
1953,0,6
1954,0,14
1955,0,19
1956,0,15
1957,0,33
1958,0,153
1959,0,252
1960,0,135
1961,0,51
1962,0,37
1963,0,32
1964,0,31
1965,0,19
1966,0,31
1967,0,26
1968,0,18
1969,0,28
1970,0,23
1971,0,20
1972,0,15
1973,0,17
1974,0,19
1975,0,17
1976,0,13
1977,0,10
1978,0,13
1979,0,17
1980,0,13
1981,0,15
1982,0,20
1983,0,15
1984,0,13
1985,0,12
1986,0,14
1987,0,12
1988,0,19
1989,0,20
1990,0,20
1991,0,15
1992,0,22
1993,0,17
1994,0,26
1995,0,18
1996,0,28
1997,0,21
1998,0,20
1999,0,24
2000,0,15
2001,0,9
2002,0,20
2003,0,31
2004,0,10
2005,0,19
2006,0,17
2007,0,12
2008,0,26
2009,0,22
2010,0,29
2011,0,30
2012,0,33
2013,0,26
2014,0,37
2015,0,37
2016,0,37
2017,0,38
2018,0,34
2019,0,62
