year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,5
1912,0,0
1913,0,0
1914,0,0
1915,0,6
1916,0,7
1917,0,0
1918,0,11
1919,0,5
1920,0,9
1921,0,9
1922,0,6
1923,0,8
1924,0,14
1925,0,9
1926,0,14
1927,0,8
1928,0,19
1929,0,11
1930,0,15
1931,0,18
1932,0,9
1933,0,23
1934,0,22
1935,0,18
1936,0,19
1937,0,25
1938,0,29
1939,0,9
1940,0,18
1941,0,20
1942,0,17
1943,0,19
1944,0,19
1945,0,15
1946,0,19
1947,0,18
1948,0,22
1949,0,14
1950,0,11
1951,0,16
1952,0,18
1953,0,15
1954,0,12
1955,0,11
1956,0,18
1957,0,8
1958,0,24
1959,0,8
1960,0,9
1961,0,8
1962,0,17
1963,0,7
1964,0,13
1965,0,11
1966,0,25
1967,0,52
1968,0,79
1969,0,98
1970,0,119
1971,0,111
1972,0,86
1973,0,100
1974,0,88
1975,0,116
1976,0,160
1977,0,253
1978,0,258
1979,0,311
1980,0,388
1981,0,304
1982,0,200
1983,0,184
1984,0,193
1985,0,180
1986,0,128
1987,0,132
1988,0,117
1989,0,118
1990,0,113
1991,0,126
1992,0,135
1993,0,109
1994,0,130
1995,0,109
1996,0,126
1997,0,134
1998,0,110
1999,0,114
2000,0,131
2001,0,105
2002,0,228
2003,0,207
2004,0,290
2005,0,365
2006,0,465
2007,0,502
2008,0,480
2009,0,569
2010,0,657
2011,0,801
2012,0,971
2013,8,1201
2014,8,1499
2015,12,1760
2016,23,2054
2017,18,2422
2018,17,2782
2019,28,3429
