year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,6,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,6,0
1901,0,0
1902,0,0
1903,0,0
1904,9,0
1905,8,0
1906,0,0
1907,7,0
1908,6,0
1909,6,0
1910,9,0
1911,7,0
1912,23,0
1913,33,0
1914,23,0
1915,33,0
1916,46,0
1917,51,0
1918,44,0
1919,53,0
1920,65,0
1921,60,0
1922,56,0
1923,62,0
1924,67,0
1925,52,0
1926,43,0
1927,43,0
1928,43,0
1929,46,0
1930,32,0
1931,43,0
1932,37,0
1933,37,0
1934,47,0
1935,40,0
1936,31,0
1937,31,0
1938,34,0
1939,38,0
1940,38,0
1941,40,0
1942,36,0
1943,42,0
1944,33,0
1945,32,0
1946,37,0
1947,36,0
1948,45,0
1949,34,0
1950,44,0
1951,34,0
1952,42,0
1953,45,0
1954,32,0
1955,35,0
1956,41,0
1957,40,0
1958,33,0
1959,29,0
1960,27,0
1961,27,0
1962,21,0
1963,29,0
1964,27,0
1965,14,0
1966,16,0
1967,20,0
1968,15,0
1969,24,0
1970,19,0
1971,21,0
1972,12,0
1973,21,0
1974,18,0
1975,14,0
1976,13,0
1977,13,0
1978,11,0
1979,17,0
1980,7,0
1981,11,0
1982,12,0
1983,8,0
1984,11,0
1985,11,0
1986,8,0
1987,10,0
1988,10,0
1989,10,0
1990,13,0
1991,10,0
1992,5,0
1993,7,0
1994,0,0
1995,8,0
1996,0,0
1997,5,0
1998,5,0
1999,0,0
2000,6,0
2001,0,0
2002,7,0
2003,0,0
2004,0,0
2005,5,0
2006,0,0
2007,0,0
2008,6,0
2009,0,0
2010,7,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,8,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
