year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,5
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,7
1913,0,9
1914,0,13
1915,0,13
1916,0,8
1917,0,15
1918,0,17
1919,0,16
1920,0,26
1921,0,29
1922,0,17
1923,0,21
1924,0,28
1925,0,36
1926,0,32
1927,0,38
1928,0,27
1929,0,35
1930,0,27
1931,0,25
1932,0,29
1933,0,19
1934,0,37
1935,0,32
1936,0,26
1937,0,20
1938,0,27
1939,0,25
1940,0,24
1941,0,20
1942,0,29
1943,0,26
1944,0,14
1945,0,22
1946,0,27
1947,0,30
1948,0,24
1949,0,18
1950,0,27
1951,0,27
1952,0,43
1953,0,25
1954,0,32
1955,0,39
1956,0,40
1957,0,43
1958,0,55
1959,0,43
1960,0,42
1961,0,49
1962,0,48
1963,0,45
1964,0,45
1965,0,36
1966,0,47
1967,6,49
1968,0,32
1969,0,32
1970,0,29
1971,0,30
1972,0,36
1973,0,25
1974,0,19
1975,0,20
1976,0,24
1977,0,19
1978,0,12
1979,0,15
1980,0,17
1981,0,16
1982,0,14
1983,0,15
1984,0,15
1985,0,25
1986,0,12
1987,0,23
1988,0,18
1989,0,16
1990,0,17
1991,0,11
1992,0,8
1993,0,17
1994,0,19
1995,0,13
1996,0,13
1997,0,13
1998,0,5
1999,0,5
2000,0,12
2001,0,11
2002,0,8
2003,0,8
2004,0,9
2005,0,6
2006,0,9
2007,0,10
2008,0,10
2009,0,11
2010,0,0
2011,0,0
2012,0,5
2013,0,17
2014,0,11
2015,0,10
2016,0,10
2017,0,12
2018,0,11
2019,0,7
