year,Girls,Boys
1880,0,16
1881,0,14
1882,0,21
1883,0,11
1884,0,13
1885,0,13
1886,0,11
1887,0,12
1888,0,17
1889,0,11
1890,0,17
1891,0,12
1892,0,11
1893,0,15
1894,0,11
1895,0,9
1896,0,14
1897,0,15
1898,0,16
1899,0,13
1900,0,23
1901,0,13
1902,0,19
1903,0,21
1904,0,17
1905,0,27
1906,0,20
1907,0,27
1908,0,30
1909,0,27
1910,0,43
1911,0,49
1912,0,89
1913,0,116
1914,0,133
1915,0,196
1916,0,226
1917,0,227
1918,5,265
1919,0,274
1920,0,269
1921,0,304
1922,0,247
1923,0,302
1924,0,284
1925,0,280
1926,0,317
1927,0,268
1928,0,258
1929,0,232
1930,0,254
1931,5,244
1932,0,220
1933,0,206
1934,5,229
1935,0,195
1936,0,191
1937,0,179
1938,0,214
1939,0,189
1940,0,184
1941,0,168
1942,0,146
1943,0,149
1944,0,144
1945,0,113
1946,0,134
1947,0,139
1948,0,144
1949,0,111
1950,0,84
1951,0,79
1952,0,100
1953,0,79
1954,0,88
1955,0,97
1956,0,83
1957,0,68
1958,0,70
1959,0,68
1960,0,55
1961,0,66
1962,0,60
1963,0,58
1964,0,68
1965,0,53
1966,0,50
1967,0,48
1968,0,49
1969,0,39
1970,0,32
1971,0,41
1972,0,33
1973,0,41
1974,0,32
1975,0,22
1976,0,34
1977,0,18
1978,0,23
1979,0,24
1980,0,27
1981,0,17
1982,0,6
1983,0,10
1984,0,14
1985,0,14
1986,0,17
1987,0,8
1988,0,12
1989,0,15
1990,0,6
1991,0,13
1992,0,10
1993,0,5
1994,0,6
1995,0,9
1996,0,0
1997,0,6
1998,0,9
1999,0,5
2000,0,0
2001,0,0
2002,0,6
2003,0,0
2004,0,6
2005,0,0
2006,0,0
2007,0,0
2008,0,6
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
