year,F,M
1880,0,0
1881,0,0
1882,0,5
1883,0,7
1884,0,8
1885,0,0
1886,0,7
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,5
1898,0,0
1899,0,0
1900,0,7
1901,0,0
1902,0,0
1903,0,0
1904,0,5
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,5
1911,0,5
1912,0,15
1913,0,14
1914,0,17
1915,0,21
1916,0,23
1917,0,28
1918,0,26
1919,0,6
1920,0,21
1921,0,15
1922,0,22
1923,0,15
1924,0,21
1925,0,17
1926,0,24
1927,0,22
1928,0,22
1929,0,27
1930,0,22
1931,0,19
1932,0,20
1933,0,35
1934,0,24
1935,0,35
1936,0,24
1937,5,37
1938,0,40
1939,0,49
1940,0,68
1941,0,84
1942,0,69
1943,0,97
1944,0,105
1945,0,101
1946,0,116
1947,0,109
1948,5,77
1949,0,84
1950,0,85
1951,0,83
1952,0,86
1953,0,96
1954,0,72
1955,0,81
1956,0,84
1957,0,83
1958,0,65
1959,0,78
1960,0,74
1961,0,79
1962,0,72
1963,0,73
1964,0,57
1965,0,56
1966,0,44
1967,0,37
1968,0,45
1969,0,41
1970,0,53
1971,0,53
1972,0,57
1973,0,36
1974,0,45
1975,0,39
1976,0,42
1977,0,65
1978,0,47
1979,0,34
1980,0,29
1981,0,32
1982,0,26
1983,0,20
1984,0,27
1985,0,34
1986,0,31
1987,0,26
1988,0,28
1989,0,34
1990,0,31
1991,0,29
1992,0,21
1993,0,27
1994,0,19
1995,0,24
1996,0,20
1997,0,13
1998,0,9
1999,0,18
2000,0,15
2001,0,9
2002,0,10
2003,0,8
2004,0,10
2005,0,14
2006,0,9
2007,0,0
2008,0,9
2009,0,8
2010,0,8
2011,0,9
2012,0,9
2013,0,9
2014,0,10
2015,0,6
2016,0,0
2017,0,5
2018,0,16
2019,0,7
