year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,5
1949,0,6
1950,0,5
1951,0,9
1952,0,6
1953,0,10
1954,0,12
1955,0,24
1956,0,25
1957,0,25
1958,0,21
1959,0,30
1960,0,28
1961,0,46
1962,0,26
1963,0,25
1964,0,34
1965,0,31
1966,0,30
1967,0,40
1968,0,36
1969,0,31
1970,0,41
1971,0,49
1972,0,59
1973,0,69
1974,0,81
1975,0,86
1976,5,109
1977,0,141
1978,0,152
1979,0,202
1980,0,219
1981,0,220
1982,0,291
1983,0,344
1984,0,433
1985,5,646
1986,0,642
1987,9,686
1988,9,871
1989,5,1024
1990,0,1228
1991,5,1248
1992,0,1749
1993,0,1902
1994,0,1729
1995,0,1533
1996,0,1373
1997,0,1321
1998,0,1291
1999,0,1218
2000,0,1150
2001,0,895
2002,0,855
2003,0,681
2004,0,618
2005,0,626
2006,0,525
2007,0,463
2008,0,395
2009,0,395
2010,0,295
2011,0,269
2012,0,200
2013,0,164
2014,0,126
2015,0,98
2016,0,86
2017,0,82
2018,0,74
2019,0,71
