year,Girls,Boys
1880,0,6
1881,0,0
1882,0,0
1883,0,6
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,6
1889,0,5
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,7
1896,0,0
1897,0,0
1898,0,8
1899,0,0
1900,0,0
1901,0,0
1902,0,6
1903,0,0
1904,0,0
1905,0,6
1906,0,0
1907,0,5
1908,0,0
1909,0,0
1910,0,8
1911,0,9
1912,0,6
1913,0,8
1914,0,13
1915,0,11
1916,0,8
1917,0,5
1918,0,6
1919,0,9
1920,0,5
1921,0,6
1922,0,11
1923,0,5
1924,0,9
1925,0,8
1926,0,8
1927,0,8
1928,0,9
1929,0,7
1930,0,6
1931,0,0
1932,0,10
1933,0,5
1934,0,7
1935,0,10
1936,0,6
1937,0,11
1938,0,7
1939,0,14
1940,0,8
1941,0,6
1942,0,7
1943,0,10
1944,0,19
1945,0,11
1946,0,7
1947,0,13
1948,0,7
1949,0,11
1950,0,5
1951,0,8
1952,0,5
1953,0,11
1954,0,10
1955,0,0
1956,0,9
1957,0,9
1958,0,14
1959,0,7
1960,0,10
1961,0,11
1962,0,0
1963,0,12
1964,0,14
1965,0,12
1966,0,9
1967,0,11
1968,0,13
1969,0,9
1970,0,22
1971,0,27
1972,0,25
1973,0,21
1974,0,29
1975,0,39
1976,0,30
1977,0,38
1978,0,41
1979,0,38
1980,0,35
1981,0,35
1982,0,26
1983,0,28
1984,0,26
1985,0,18
1986,0,27
1987,0,21
1988,0,43
1989,0,60
1990,0,52
1991,0,49
1992,0,39
1993,0,39
1994,0,55
1995,0,36
1996,0,57
1997,0,43
1998,0,49
1999,0,54
2000,0,88
2001,0,92
2002,0,108
2003,0,103
2004,0,96
2005,0,122
2006,0,103
2007,0,112
2008,0,124
2009,0,155
2010,0,184
2011,0,205
2012,0,244
2013,0,250
2014,0,325
2015,0,356
2016,0,397
2017,0,424
2018,0,404
2019,0,403
