year,Girls,Boys
1880,19,0
1881,17,0
1882,21,0
1883,16,0
1884,29,0
1885,18,0
1886,32,0
1887,27,0
1888,37,5
1889,43,0
1890,52,0
1891,63,0
1892,56,0
1893,57,0
1894,77,0
1895,80,0
1896,82,0
1897,104,0
1898,104,0
1899,120,0
1900,131,0
1901,127,0
1902,189,0
1903,176,6
1904,198,0
1905,161,0
1906,188,0
1907,212,0
1908,199,0
1909,240,0
1910,220,0
1911,268,0
1912,307,0
1913,342,0
1914,373,0
1915,487,5
1916,466,5
1917,477,10
1918,471,8
1919,488,6
1920,448,0
1921,445,12
1922,467,9
1923,447,0
1924,417,5
1925,431,0
1926,356,6
1927,382,0
1928,371,6
1929,347,0
1930,370,5
1931,284,0
1932,303,0
1933,230,0
1934,272,8
1935,237,0
1936,185,0
1937,191,5
1938,194,0
1939,180,5
1940,190,0
1941,148,0
1942,181,0
1943,178,0
1944,151,6
1945,168,0
1946,143,0
1947,146,0
1948,115,0
1949,149,0
1950,121,0
1951,103,0
1952,96,0
1953,106,0
1954,120,0
1955,104,0
1956,96,0
1957,77,0
1958,83,0
1959,81,0
1960,62,0
1961,64,0
1962,58,0
1963,41,0
1964,44,0
1965,42,0
1966,43,0
1967,25,0
1968,28,0
1969,20,0
1970,18,0
1971,24,0
1972,17,0
1973,27,0
1974,15,0
1975,18,0
1976,12,0
1977,8,0
1978,10,0
1979,14,0
1980,7,0
1981,14,0
1982,8,0
1983,10,0
1984,0,0
1985,10,0
1986,9,0
1987,6,0
1988,7,0
1989,7,0
1990,0,0
1991,6,0
1992,8,0
1993,0,0
1994,10,0
1995,0,0
1996,8,0
1997,5,0
1998,7,0
1999,7,0
2000,6,0
2001,0,0
2002,5,0
2003,0,0
2004,0,0
2005,8,0
2006,8,0
2007,5,0
2008,8,0
2009,5,0
2010,8,0
2011,5,0
2012,5,0
2013,5,0
2014,6,0
2015,13,0
2016,12,0
2017,7,0
2018,16,0
2019,14,0
