year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,7
1973,0,0
1974,0,0
1975,0,7
1976,0,8
1977,0,8
1978,0,7
1979,0,0
1980,0,7
1981,0,14
1982,0,11
1983,0,7
1984,0,11
1985,0,7
1986,0,9
1987,0,15
1988,0,11
1989,0,17
1990,0,18
1991,0,18
1992,0,11
1993,0,21
1994,0,29
1995,0,29
1996,7,41
1997,7,37
1998,9,52
1999,9,43
2000,6,67
2001,12,59
2002,10,66
2003,8,63
2004,13,75
2005,10,85
2006,16,90
2007,14,109
2008,20,120
2009,20,109
2010,15,107
2011,24,116
2012,15,117
2013,23,129
2014,18,123
2015,17,122
2016,28,143
2017,27,138
2018,19,150
2019,23,169
