year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,5,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,5,0
1894,7,0
1895,9,0
1896,6,0
1897,12,0
1898,9,0
1899,8,0
1900,11,0
1901,8,0
1902,7,0
1903,8,0
1904,8,0
1905,6,0
1906,14,0
1907,10,0
1908,7,0
1909,8,0
1910,11,0
1911,6,0
1912,11,0
1913,11,0
1914,17,0
1915,7,0
1916,18,0
1917,22,0
1918,21,0
1919,17,0
1920,25,0
1921,19,0
1922,23,0
1923,20,0
1924,16,0
1925,23,0
1926,18,0
1927,15,0
1928,13,0
1929,17,0
1930,18,0
1931,8,0
1932,11,0
1933,21,0
1934,13,0
1935,16,0
1936,10,0
1937,7,0
1938,14,0
1939,20,0
1940,11,0
1941,10,0
1942,8,0
1943,0,0
1944,7,0
1945,10,0
1946,9,0
1947,15,0
1948,7,0
1949,0,0
1950,0,0
1951,9,0
1952,6,0
1953,7,0
1954,10,0
1955,7,0
1956,10,0
1957,9,0
1958,5,0
1959,6,0
1960,11,0
1961,7,0
1962,8,0
1963,10,0
1964,10,0
1965,6,0
1966,5,0
1967,7,0
1968,5,0
1969,5,0
1970,0,0
1971,0,0
1972,6,0
1973,0,0
1974,8,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,12,0
2000,15,0
2001,29,0
2002,19,0
2003,24,0
2004,30,0
2005,33,0
2006,28,0
2007,23,0
2008,17,0
2009,16,0
2010,18,0
2011,24,0
2012,20,0
2013,22,0
2014,20,0
2015,9,0
2016,11,0
2017,21,0
2018,13,0
2019,13,0
